Date,Open,High,Low,Close,Adj Close,Volume
2023-12-12,690.000000,710.000000,685.000000,685.000000,685.000000,52039700
2023-12-13,690.000000,690.000000,665.000000,680.000000,680.000000,84414000
2023-12-14,685.000000,700.000000,680.000000,680.000000,680.000000,47184100
2023-12-15,685.000000,690.000000,675.000000,685.000000,685.000000,51837400
2023-12-18,695.000000,740.000000,690.000000,715.000000,715.000000,212922600
2023-12-19,720.000000,750.000000,705.000000,740.000000,740.000000,84905400
2023-12-20,740.000000,750.000000,720.000000,720.000000,720.000000,46934400
2023-12-21,725.000000,730.000000,715.000000,725.000000,725.000000,23779100
2023-12-22,730.000000,735.000000,715.000000,720.000000,720.000000,32986600
2023-12-27,720.000000,740.000000,715.000000,725.000000,725.000000,23319700
2023-12-28,730.000000,735.000000,705.000000,715.000000,715.000000,44392500
2023-12-29,715.000000,720.000000,705.000000,720.000000,720.000000,16090900
2024-01-02,725.000000,730.000000,710.000000,715.000000,715.000000,23084400
2024-01-03,720.000000,730.000000,710.000000,715.000000,715.000000,37076300
2024-01-04,715.000000,745.000000,715.000000,735.000000,735.000000,62887800
2024-01-05,740.000000,760.000000,735.000000,750.000000,750.000000,63182600
2024-01-08,750.000000,755.000000,730.000000,735.000000,735.000000,26862000
2024-01-09,745.000000,765.000000,725.000000,765.000000,765.000000,55930400
2024-01-10,765.000000,780.000000,755.000000,770.000000,770.000000,49852900
2024-01-11,770.000000,815.000000,765.000000,810.000000,810.000000,108929200
2024-01-12,810.000000,815.000000,790.000000,810.000000,810.000000,44117300
2024-01-15,810.000000,815.000000,795.000000,810.000000,810.000000,49310000
2024-01-16,810.000000,815.000000,800.000000,810.000000,810.000000,31744500
2024-01-17,810.000000,810.000000,790.000000,800.000000,800.000000,38196300
2024-01-18,800.000000,805.000000,790.000000,800.000000,800.000000,30527700
2024-01-19,800.000000,810.000000,780.000000,800.000000,800.000000,57996900
2024-01-22,800.000000,815.000000,790.000000,810.000000,810.000000,53875700
2024-01-23,815.000000,825.000000,805.000000,825.000000,825.000000,71171300
2024-01-24,825.000000,835.000000,815.000000,825.000000,825.000000,55847400
2024-01-25,830.000000,835.000000,825.000000,825.000000,825.000000,42519300
2024-01-26,825.000000,835.000000,810.000000,820.000000,820.000000,38181400
2024-01-29,820.000000,835.000000,815.000000,835.000000,835.000000,44594700
2024-01-30,835.000000,835.000000,820.000000,830.000000,830.000000,28560800
2024-01-31,830.000000,850.000000,825.000000,850.000000,850.000000,67867200
2024-02-01,850.000000,865.000000,835.000000,855.000000,855.000000,73475900
2024-02-02,855.000000,855.000000,810.000000,820.000000,820.000000,54014600
2024-02-05,820.000000,825.000000,800.000000,810.000000,810.000000,41870700
2024-02-06,820.000000,845.000000,815.000000,830.000000,830.000000,33248900
2024-02-07,835.000000,845.000000,820.000000,830.000000,830.000000,28030000
2024-02-12,830.000000,830.000000,810.000000,815.000000,815.000000,29948200
2024-02-13,815.000000,825.000000,810.000000,820.000000,820.000000,19251200
2024-02-15,825.000000,830.000000,815.000000,825.000000,825.000000,16310800
2024-02-16,825.000000,825.000000,765.000000,775.000000,775.000000,82558800
2024-02-19,775.000000,795.000000,760.000000,760.000000,760.000000,42176800
2024-02-20,760.000000,795.000000,760.000000,785.000000,785.000000,75500900
2024-02-21,790.000000,795.000000,775.000000,795.000000,795.000000,53547600
2024-02-22,800.000000,850.000000,800.000000,835.000000,835.000000,93105700
2024-02-23,835.000000,845.000000,830.000000,840.000000,840.000000,28958700
2024-02-26,840.000000,860.000000,840.000000,850.000000,850.000000,32684700
2024-02-27,855.000000,855.000000,835.000000,835.000000,835.000000,28969400
2024-02-28,845.000000,845.000000,830.000000,830.000000,830.000000,11992200
2024-02-29,830.000000,845.000000,820.000000,835.000000,835.000000,31965300
2024-03-01,840.000000,845.000000,820.000000,825.000000,825.000000,12745400
2024-03-04,830.000000,830.000000,810.000000,820.000000,820.000000,17947900
2024-03-05,820.000000,825.000000,805.000000,805.000000,805.000000,14610200
2024-03-06,810.000000,820.000000,800.000000,800.000000,800.000000,34152300
2024-03-07,805.000000,830.000000,805.000000,820.000000,820.000000,28727700
2024-03-08,820.000000,835.000000,820.000000,825.000000,825.000000,34922300
2024-03-13,830.000000,850.000000,830.000000,835.000000,835.000000,44352200
2024-03-14,835.000000,845.000000,820.000000,840.000000,840.000000,28656200
2024-03-15,840.000000,845.000000,830.000000,835.000000,835.000000,14659200
2024-03-18,835.000000,845.000000,825.000000,825.000000,825.000000,16675700
2024-03-19,825.000000,855.000000,825.000000,845.000000,845.000000,32422900
2024-03-20,850.000000,945.000000,850.000000,930.000000,930.000000,391272200
2024-03-21,930.000000,950.000000,915.000000,920.000000,920.000000,188385300
2024-03-22,925.000000,935.000000,910.000000,915.000000,915.000000,34937300
2024-03-25,945.000000,945.000000,900.000000,930.000000,930.000000,41328700
2024-03-26,930.000000,930.000000,910.000000,925.000000,925.000000,31365700
2024-03-27,925.000000,930.000000,905.000000,910.000000,910.000000,25498500
2024-03-28,910.000000,915.000000,880.000000,880.000000,880.000000,41617400
2024-04-01,880.000000,910.000000,855.000000,910.000000,910.000000,60908600
2024-04-02,910.000000,965.000000,910.000000,955.000000,955.000000,102907500
2024-04-03,955.000000,965.000000,945.000000,955.000000,955.000000,40424600
2024-04-04,955.000000,985.000000,930.000000,965.000000,965.000000,94434800
2024-04-05,960.000000,960.000000,945.000000,950.000000,950.000000,45586000
2024-04-16,935.000000,935.000000,885.000000,910.000000,910.000000,96657400
2024-04-17,910.000000,930.000000,910.000000,920.000000,920.000000,24320500
2024-04-18,925.000000,950.000000,925.000000,940.000000,940.000000,31864800
2024-04-19,940.000000,945.000000,915.000000,920.000000,920.000000,31253900
2024-04-22,935.000000,960.000000,930.000000,945.000000,945.000000,43251700
2024-04-23,950.000000,980.000000,950.000000,970.000000,970.000000,53423400
2024-04-24,975.000000,985.000000,960.000000,970.000000,970.000000,48720000
2024-04-25,970.000000,995.000000,965.000000,975.000000,975.000000,35094400
2024-04-26,975.000000,975.000000,890.000000,910.000000,910.000000,87109400
